NQUEST,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA11,YTA12,YTA2,YTA31,YCA1,YCA2,YTA32,YTA4,YTA5,YL,YTP,YTA3,YTA,YT,YM,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
35379,1,0,0,18200,0,0,0,0,0,0,0,6000,1000,0,0,0,18200,-1000,-1000,17200,0,6000,30.988702722,0,0,0,30.988702722,6030.9887027,23230.988703
35640,1,0,0,17940,0,0,0,0,0,0,0,12000,0,0,0,0,17940,0,0,17940,0,12000,77.471756805,0,0,0,77.471756805,12077.471757,30017.471757
35640,2,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,15600,0,0,15600,0,0,0,0,0,0,0,0,15600
35682,1,0,0,14300,0,0,0,0,0,0,0,4800,0,0,0,0,14300,0,0,14300,0,4800,15.494351361,0,0,0,15.494351361,4815.4943514,19115.494351
35682,2,0,0,20800,0,0,0,0,0,0,0,0,0,0,0,0,20800,0,0,20800,0,0,0,0,0,0,0,0,20800
35788,1,0,0,17680,0,0,0,0,0,0,0,7200,0,0,0,0,17680,0,0,17680,0,7200,616.82421221,0,0,0,616.82421221,7816.8242122,25496.824212
35788,2,0,0,7168,0,0,0,0,0,0,0,0,0,0,0,0,7168,0,0,7168,0,0,0,0,0,0,0,0,7168
36130,1,0,0,22750,0,0,0,0,0,0,0,4800,0,0,0,0,22750,0,0,22750,0,4800,15.494351361,0,0,0,15.494351361,4815.4943514,27565.494351
36130,2,14400,240,0,0,1600,1600,0,0,0,0,0,0,0,0,14640,0,0,1600,1600,0,0,0,0,0,0,0,0,16240
36186,1,4500,0,6500,0,1500,0,1500,0,0,0,2400,0,1300,0,4500,6500,0,2800,9300,0,2400,2.1692091905,0,0,0,2.1692091905,2402.1692092,16202.169209
36186,3,2300,0,0,0,7800,0,7800,0,0,0,0,0,0,0,2300,0,0,7800,7800,0,0,0,0,0,0,0,0,10100
36250,1,16500,0,0,0,0,0,0,0,0,0,4800,0,0,0,16500,0,0,0,0,0,4800,9.2966108166,0,0,0,9.2966108166,4809.2966108,21309.296611
36321,1,0,0,24050,0,0,0,0,0,0,0,9600,0,0,0,0,24050,0,0,24050,0,9600,58.878535172,116.54332039,0,0,175.42185556,9775.4218556,33825.421856
36321,3,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,9100
36333,1,0,0,7150,0,0,0,0,0,0,0,4800,0,0,0,0,7150,0,0,7150,0,4800,1.2395481089,0,0,0,1.2395481089,4801.2395481,11951.239548
36403,1,0,0,12000,0,7500,0,7500,0,0,0,0,0,500,12000,0,12000,0,20000,32000,0,0,0,0,0,0,0,0,32000
36403,2,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,12000,0,0,0,0,0,0,0,0,12000
36409,1,0,0,32200,0,0,0,0,0,0,0,9200,0,0,0,0,32200,0,0,32200,0,9200,92.966108166,0,0,448.58435568,-355.6182475,8844.3817525,41044.381752
36443,1,0,0,15990,0,0,0,0,0,0,0,7800,0,0,0,0,15990,0,0,15990,0,7800,185.93221633,0,0,0,185.93221633,7985.9322163,23975.932216
36443,2,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,17000
36697,1,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0,19500,0,0,94.869444659,0,0,0,94.869444659,94.869444659,19594.869445
36893,1,0,0,21840,0,0,0,0,0,0,0,4200,0,0,0,0,21840,0,0,21840,0,4200,74.94001993,0,0,0,74.94001993,4274.9400199,26114.94002
37299,1,15000,0,0,0,0,0,0,0,0,0,6000,0,0,0,15000,0,0,0,0,0,6000,0,0,0,0,0,6000,21000
37521,1,0,0,22620,0,0,0,0,0,0,0,6000,0,0,0,0,22620,0,0,22620,0,6000,101.42684264,0,0,89.716871135,11.709971508,6011.7099715,28631.709972
