NQUEST,Y,CN,CD1,CD2,CD,C,S
505534,30535.19574,23700,15000,2000,17000,40700,-10164.80426
505594,26009.379507,17500,0,0,0,17500,8509.3795071
505606,70744.990721,51900,0,0,0,51900,18844.990721
505681,16011.692092,15760,0,0,0,15760,251.69209191
505771,54265.076276,22800,0,0,0,22800,31465.076276
505806,19676.634029,9800,0,0,0,9800,9876.6340288
505818,102390.59626,43500,0,0,0,43500,58890.596264
505839,53647.26497,21340,0,0,0,21340,32307.26497
506100,7177.1486834,7900,0,0,0,7900,-722.8513166
506107,42830.988703,26300,0,0,0,26300,16530.988703
506112,15900.988703,12000,0,0,0,12000,3900.9887027
506402,15530.988703,11000,0,0,0,11000,4530.9887027
506418,15398.317803,12800,0,0,0,12800,2598.3178028
506565,61189.449162,25400,0,7000,7000,32400,28789.449162
506628,32032.538138,16600,0,0,0,16600,15432.538138
506736,44422.670146,22700,0,0,0,22700,21722.670146
506738,52227.889832,21350,8800,400,9200,30550,21677.889832
506758,53515.494351,31800,500,0,500,32300,21215.494351
506767,44269.774054,37000,0,0,0,37000,7269.7740544
506799,68369.937836,42700,0,0,0,42700,25669.937836
507182,32023.089665,22800,0,0,0,22800,9223.0896647
507282,55385.522522,38600,0,0,0,38600,16785.522522
507303,37365.494351,23600,0,0,0,23600,13765.494351
507316,32406.197741,24600,0,0,0,24600,7806.1977405
507319,21456.140962,14800,0,0,0,14800,6656.1409622
507336,48296.483054,20800,3000,0,3000,23800,24496.483054
507419,33607.744788,13020,0,0,0,13020,20587.744788
507444,18714.479096,8936,0,0,0,8936,9778.4790962
507640,19503.640843,18440,0,330,330,18770,733.64084294
507644,22642.395481,17700,0,0,0,17700,4942.3954811
507728,31372.680795,25000,0,0,0,25000,6372.6807946
507863,22702.966108,19020,0,0,0,19020,3682.9661082
507905,50015.494351,22800,0,0,0,22800,27215.494351
507908,20330.988703,18900,0,0,0,18900,1430.9887027
507913,15198.296611,12440,0,0,0,12440,2758.2966108
507924,17861.977405,12200,0,0,0,12200,5661.9774054
508861,29423.954811,19600,0,0,0,19600,9823.9548109
509054,15799.296611,15200,0,0,0,15200,599.29661082
509057,12092.169209,11440,0,0,0,11440,652.16920919
509071,30606.197741,28900,0,0,0,28900,1706.1977405
509123,13683.09887,12200,0,0,0,12200,1483.0988703
509550,27274.790962,21100,0,0,0,21100,6174.7909622
509601,36309.296611,21300,0,0,0,21300,15009.296611
509689,15607.747176,17800,0,250,250,18050,-2442.252824
509717,13200,12600,0,0,0,12600,600
509806,19601.549435,20800,0,0,0,20800,-1198.450565
509869,16804.648305,16400,0,0,0,16400,404.64830541
509889,33613.944916,26000,0,0,0,26000,7613.9449162
510109,11416.230527,10500,0,0,0,10500,916.23052707
510329,6000,9600,0,0,0,9600,-3600
510345,26023.241527,23000,0,600,600,23600,2423.241527
510432,9000,11070,0,0,0,11070,-2070
510433,34884.212372,15250,0,0,0,15250,19634.212372
511074,13377.186443,13800,0,500,500,14300,-922.8135567
511136,6805.5810965,13000,0,0,0,13000,-6194.418904
511160,26081.565132,19400,0,0,0,19400,6681.565132
511260,31523.077932,11900,0,0,0,11900,19623.077932
511352,20116.142657,10300,0,0,0,10300,9816.1426568
511365,24030.988703,13900,0,0,0,13900,10130.988703
511424,22930.988703,22300,0,0,0,22300,630.98870272
511474,20765.577966,29500,0,0,0,29500,-8734.422034
511494,7201.3523409,3400,0,0,0,3400,3801.3523409
511495,15000.619774,13500,0,0,0,13500,1500.6197741
511501,15000.619774,12900,0,0,0,12900,2100.6197741
511629,25515.494351,15900,0,0,0,15900,9615.4943514
511757,30256.480427,16800,0,0,0,16800,13456.480427
512211,10780,12200,0,0,0,12200,-1420
512368,16630,15500,0,0,0,15500,1130
512372,11160,11000,0,0,0,11000,160
512452,54861.977405,30600,0,0,0,30600,24261.977405
512457,23337.186443,21900,0,0,0,21900,1437.1864433
512517,43485.124239,20100,0,500,500,20600,22885.124239
512784,24890.018242,20390,0,0,0,20390,4500.0182424
512843,20501.58036,19400,0,8000,8000,27400,-6898.41964
512887,22257.839631,19110,0,0,0,19110,3147.8396313
512921,57300.609843,36200,0,0,0,36200,21100.609843
