NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,b22,b23a,b23b,b24,b25a,b25b,b25c,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT2,PESOFIT
683727,3,2,2,6,1,1985,1,,,2,5,,85,100,,2004,1,2,2,2,,,2,12,2,5,1,,20,,,10,1,0,0,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,35,15,3,15,,,2,7,3,5,0,0,0,0,1,3,4,2,4,3375.9855095,0.8318233677
683727,3,3,1,6,1,1992,1,,,2,5,,60,100,,2011,2,2,2,3,,,2,12,1,4,1,,21,,,6,1,0,0,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,28,15,3,15,,,1,7,3,5,0,0,0,0,1,3,4,2,4,3375.9855095,0.8318233677
683737,1,1,2,1,2,1989,1,1990,1,2,5,,86,100,,2007,5,2,1,1,,,1,2,,,1,,20,1,3,,1,6,0,1,60,2,,,2,,,65,30,2,,1,2,2,2,2,2,2,,4110,3,,2,2,,31,,,19,,,1,2,1,2,1,1,1,1,1,3,5,0,1,16956.391736,4.1779571735
683767,2,1,1,1,1,1949,1,,,1,4,,,,,,,,1,2,,,2,15,1,22,2,1,21,2,,,1,38,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,5,,,5,6,3,5,0,1,0,0,2,1,2,1,3,848.65605917,0.2091039606
683767,2,2,2,2,1,1954,1,,,1,4,,,,,,,,1,1,,,2,15,2,15,3,1,19,2,,,1,41,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,66,5,1,5,,,5,6,3,5,1,1,0,0,2,1,2,1,3,848.65605917,0.2091039606
683782,2,1,1,1,1,1962,1,,,1,3,,,,,,,,1,2,,,2,12,9,13,1,,15,,,5,1,25,0,2,,1,0,5,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,58,19,3,19,,,4,7,3,5,1,1,0,0,1,3,5,2,4,335.56386491,0.0826810019
683782,2,2,2,2,2,1963,1,1982,2,1,5,,10,10,,1982,3,2,2,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,57,,,19,,,4,7,3,5,0,0,0,0,1,3,5,2,4,335.56386491,0.0826810019
683785,1,1,1,1,1,1950,1,,,4,5,,57,60,,1969,2,2,1,1,,,2,15,2,15,3,1,26,1,2,,1,39,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,70,17,3,17,,,5,6,3,5,1,1,0,0,1,3,4,2,4,1219.1153055,0.3003829833
683896,2,1,2,1,1,1949,1,,,1,3,,,,,,,,1,1,,,2,15,1,1,3,3,15,2,,,1,15,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,7,1,7,,,5,6,3,5,0,1,0,0,2,1,1,0,1,11341.140339,2.7943916001
683896,2,2,1,2,1,1947,1,,,1,2,,,,,,,,2,2,,,2,15,1,8,3,1,35,2,,,1,35,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,73,7,1,7,,,5,6,3,5,1,1,0,0,2,1,1,0,1,11341.140339,2.7943916001
683991,3,1,1,1,1,1954,1,,,1,3,,,,,,,,1,2,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,66,19,3,19,,,5,6,3,5,1,1,0,1,2,3,5,2,4,406.86547869,0.1002493084
683991,3,2,2,2,1,1962,1,,,1,3,,,,,,,,1,1,,,1,8,,,1,,40,2,,,1,19,0,1,0,2,,,2,,,65,60,,,2,1,2,2,2,2,2,,5221,7,,2,2,,58,19,3,19,,,4,5,2,4,0,1,1,1,2,3,5,2,4,406.86547869,0.1002493084
683991,3,3,1,6,1,2004,1,,,2,3,,,,,,,,2,3,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,16,19,3,19,,,1,7,3,5,0,0,0,1,2,3,5,2,4,406.86547869,0.1002493084
684000,4,1,2,1,1,1964,1,,,1,2,,,,,,,,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,56,16,3,16,,,4,7,3,5,0,0,0,2,3,3,4,2,4,536.00432703,0.1320683762
684000,4,2,1,2,1,1965,1,,,1,3,,,,,,,,2,2,,,1,1,,,1,,20,1,5,,1,10,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,8322,8,,2,2,,55,16,3,16,,,4,1,1,4,0,1,1,2,3,3,4,2,4,536.00432703,0.1320683762
684000,4,3,1,6,1,1990,1,,,2,5,,10,10,,2009,1,2,2,3,,,1,1,,,2,1,22,1,4,,1,3,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,4322,6,26,2,2,,30,16,3,16,,,1,1,1,4,1,1,1,2,3,3,4,2,4,536.00432703,0.1320683762
684000,4,4,1,6,1,1997,1,,,2,5,,69,100,,2017,1,2,2,4,,,2,11,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,23,16,3,16,,,1,7,3,5,0,1,0,2,3,3,4,2,4,536.00432703,0.1320683762
684037,2,1,1,1,1,1932,1,,,1,2,,,,,,,,1,2,,,2,15,1,3,3,1,15,2,,,1,37,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,88,3,1,3,,,5,6,3,5,1,1,0,0,2,1,1,0,2,2927.0064807,0.7211975232
684037,2,2,2,2,1,1936,1,,,1,2,,,,,,,,2,1,,,2,15,1,3,3,1,15,1,1,,1,30,2,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,84,3,1,3,,,5,6,3,5,0,1,0,0,2,1,1,0,2,2927.0064807,0.7211975232
684063,2,1,1,1,1,1952,1,,,1,3,,,,,,,,1,1,,,2,15,2,11,3,1,18,2,,,1,42,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,16,3,16,,,5,6,3,5,1,1,0,0,1,3,4,2,5,1595.2960041,0.3930717388
684063,2,2,2,2,1,1955,1,,,1,5,,40,60,,1975,2,2,2,2,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,65,16,3,16,,,5,7,3,5,0,0,0,0,1,3,4,2,5,1595.2960041,0.3930717388
684259,4,1,2,1,1,1969,1,,,1,5,,55,60,,1987,5,2,1,2,,,2,13,,,0,,,,,,,,,2,,1,10,10,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,51,15,3,15,,,3,7,3,5,0,0,0,1,1,3,4,2,4,1962.5686027,0.4835655899
684259,4,2,1,2,1,1959,1,,,1,5,,50,60,,1977,1,2,2,1,,,2,12,6,11,1,,18,,,2,1,28,0,2,,1,,,,,,,,,,2,1,2,2,2,2,2,,3311,11,,1,2,1000,61,15,3,15,,,4,7,3,5,1,1,1,1,1,3,4,2,4,1962.5686027,0.4835655899
684259,4,3,2,6,1,1995,1,,,2,7,7,110,110,1,2019,3,,2,3,,,2,17,,,0,,,,,,,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,25,15,3,15,,,1,7,3,5,0,0,0,1,1,3,4,2,4,1962.5686027,0.4835655899
684259,4,4,1,6,1,2011,1,,,2,1,,,,,,,,,4,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,9,15,3,15,,,1,7,3,5,0,0,0,1,1,3,4,2,4,1962.5686027,0.4835655899
684279,2,1,2,1,1,1956,1,,,3,3,,,,,,,,1,1,,,1,1,,,1,,17,2,,,1,31,0,1,60,2,,,2,,,67,80,2,,1,2,2,2,2,2,2,,9623,19,,2,2,,64,8,1,8,,,4,1,1,4,0,1,1,2,2,1,2,0,1,16250.003415,4.0039071635
684279,2,2,2,6,1,1992,1,,,2,5,,9,10,,2011,1,2,2,,2,2020,1,2,,,1,,20,2,,,1,9,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,5230,11,,2,2,,28,8,1,8,,,1,2,1,4,1,1,1,2,2,1,2,0,1,16250.003415,4.0039071635
684328,1,1,1,1,1,1964,1,,,4,5,,38,60,,1983,2,2,1,1,,,1,1,,,1,,17,2,,,1,38,0,1,100,2,,,2,,,63,95,2,,1,2,2,2,2,2,2,,7113,3,,2,2,,56,3,1,3,,,4,1,1,2,1,1,1,1,1,1,1,0,2,13363.858835,3.2927777769
684359,2,1,1,1,2,1952,1,1960,1,1,3,,,,,,,,1,1,,,2,15,1,3,10,1,15,2,,,1,38,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,,,8,,,5,6,3,5,0,1,0,0,2,1,2,0,1,1100.9595718,0.2712700917
684359,2,2,2,2,1,1954,1,,,1,5,,46,60,,1972,6,2,1,2,,,2,15,2,15,1,,20,2,,,1,40,3,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,66,8,1,8,,,5,6,3,5,1,1,0,0,2,1,2,0,1,1100.9595718,0.2712700917
684434,2,1,2,1,1,1943,1,,,1,5,,40,60,,1963,2,2,1,1,,,2,15,2,7,2,1,20,2,,,1,22,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,77,8,1,9,,,5,6,3,5,0,1,0,0,2,2,3,0,2,6835.1552506,1.6841428504
684434,2,2,1,2,1,1938,1,,,1,5,,39,60,,1958,2,2,2,2,,,2,15,2,11,2,1,20,2,,,1,40,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,82,9,2,9,,,5,6,3,5,1,1,0,0,2,2,3,0,2,6835.1552506,1.6841428504
684454,2,1,1,1,1,1946,1,,,1,3,,,,,,,,1,1,,,2,15,7,7,1,,16,2,,,1,40,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,74,18,3,18,,,5,6,3,5,1,1,0,0,2,3,4,0,2,13647.871407,3.3627568375
684454,2,2,2,2,1,1942,1,,,1,3,,,,,,,,1,2,,,2,15,10,7,1,,29,2,,,1,20,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,78,18,3,18,,,5,6,3,5,0,1,0,0,2,3,4,0,2,13647.871407,3.3627568375
684524,1,1,2,1,1,1941,1,,,4,3,,,,,,,,1,1,,,2,15,1,9,1,,37,2,,,1,23,7,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,79,11,2,11,,,5,6,3,5,1,1,0,0,1,2,3,0,1,26376.902986,6.4991168382
684525,2,1,2,1,1,1956,1,,,1,7,7,100,100,0,1977,3,,1,1,,,2,15,3,16,1,,22,2,,,1,40,5,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,64,11,2,11,,,4,6,3,5,1,1,0,0,2,2,3,0,1,4348.0657186,1.0713383273
684525,2,2,1,2,1,1958,1,,,1,8,3,110,110,1,1985,3,,2,,2,,2,15,2,17,1,,27,2,,,1,40,5,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,62,11,2,11,,,4,6,3,5,0,1,0,0,2,2,3,0,1,4348.0657186,1.0713383273
684671,3,1,1,1,1,1961,1,,,1,3,,,,,,,,1,1,,,1,1,,,1,,26,2,,,1,32,1,1,50,1,50,6,2,,,67,65,2,,1,2,2,2,1,2,2,,6114,1,,2,2,,59,19,3,19,,,4,1,1,1,1,1,1,2,2,3,5,1,3,4207.9145048,1.0368058762
684671,3,2,2,2,1,1968,1,,,1,2,,,,,,,,1,2,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,52,19,3,19,,,3,7,3,5,0,0,0,2,2,3,5,1,3,4207.9145048,1.0368058762
684671,3,3,1,6,1,1995,1,,,2,5,,90,100,,2014,1,2,2,3,,,1,1,,,1,,23,2,,,1,2,0,1,,2,,,2,,,,,2,,1,2,2,2,1,2,2,,6114,1,,2,2,,25,19,3,19,,,1,1,1,1,0,1,1,2,2,3,5,1,3,4207.9145048,1.0368058762
684740,1,1,1,1,1,1974,1,,,3,5,,75,100,,1993,2,2,1,2,,,1,2,,,1,,28,2,,,1,18,1,1,90,2,,,1,0,2,66,75,2,,1,2,2,2,2,2,2,,3321,11,,2,2,,46,16,3,16,,,3,2,1,4,1,1,1,1,1,3,4,2,4,9693.4681255,2.3884146652
684784,2,1,2,1,1,1956,1,,,1,3,,,,,,,,1,1,,,2,13,,,1,,17,2,,,1,3,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,64,12,2,12,,,4,7,3,5,0,0,0,0,1,2,3,0,1,9065.861581,2.2337760306
684784,2,2,1,2,1,1948,1,,,1,3,,,,,,,,2,2,,,2,15,1,19,2,1,15,2,,,1,40,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,72,12,2,12,,,5,6,3,5,1,1,0,0,1,2,3,0,1,9065.861581,2.2337760306
684885,2,1,2,1,1,1958,1,,,1,5,,44,60,,1976,3,2,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,62,16,3,16,,,4,7,3,5,0,0,0,0,1,3,4,2,4,1142.1562034,0.2814207042
684885,2,2,1,2,1,1953,1,,,1,5,,10,10,,1972,2,2,2,2,,,2,15,4,8,6,1,10,2,,,1,36,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,67,16,3,16,,,5,6,3,5,1,1,0,0,1,3,4,2,4,1142.1562034,0.2814207042
684886,2,1,2,1,1,1961,1,,,3,3,,,,,,,,1,1,,,2,13,,,3,1,20,1,2,,2,,,2,,2,,,,,,,,,,2,2,2,2,2,2,1,,0,,,,,,59,16,3,16,,,4,7,3,5,1,1,0,0,2,3,4,2,4,6347.1523824,1.5639017569
684886,2,2,1,3,1,1971,1,,,2,5,,10,10,,1990,3,2,2,2,,,2,12,4,15,3,1,20,,,5,1,2,0,2,,1,,,,,,,,,,2,2,2,2,2,2,1,,0,,,,,,49,16,3,16,,,3,7,3,5,0,1,0,0,2,3,4,2,4,6347.1523824,1.5639017569
684937,2,1,1,1,1,1946,1,,,1,5,,7,10,,1965,2,2,1,1,,,2,15,2,14,2,1,23,1,10,,1,15,0,1,100,,,,2,,,,,,,2,1,2,1,2,2,2,6,3342,14,23,2,2,,74,19,3,19,,,5,6,3,5,1,1,1,1,1,3,5,3,5,2074.3728699,0.5111135168
684937,2,2,2,2,1,1951,1,,,1,3,,,,,,,,2,2,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,69,19,3,19,,,5,7,3,5,0,0,0,1,1,3,5,3,5,2074.3728699,0.5111135168
685016,2,1,2,1,1,1961,1,,,1,3,,,,,,,,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,59,15,3,15,,,4,7,3,5,0,0,0,1,1,3,4,2,4,2601.038395,0.640880866
685016,2,2,1,2,1,1959,1,,,1,3,,,,,,,,2,2,,,1,1,,,1,,37,2,,,2,,,1,,2,,,2,,,,,3,,1,2,2,2,2,2,2,,5312,16,,2,2,,61,15,3,15,,,4,1,1,3,1,1,1,1,1,3,4,2,4,2601.038395,0.640880866
685058,1,1,1,1,1,1955,1,,,3,3,,,,,,,,1,1,,,2,15,1,3,1,,17,2,,,1,36,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,65,18,3,18,,,5,6,3,5,1,1,0,0,1,3,4,1,3,6664.9824149,1.6422132447
685130,1,1,2,1,1,1938,1,,,4,2,,,,,,,,1,1,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,82,20,3,20,,,5,6,3,5,1,1,0,0,1,3,5,2,3,4308.256977,1.0615296829
685149,2,1,1,1,1,1953,1,,,1,2,,,,,,,,1,1,,,2,15,2,15,1,,20,2,,,1,29,4,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,67,17,3,13,,,5,6,3,5,1,1,0,0,1,3,4,1,3,3432.3653706,0.8457150404
685149,2,2,2,2,1,1960,1,,,1,2,,,,,,,,2,2,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,60,16,3,13,,,4,7,3,5,0,0,0,0,1,3,4,1,3,3432.3653706,0.8457150404
685164,2,1,2,1,1,1959,1,,,1,5,,48,60,,1979,2,2,1,1,,,2,15,2,15,3,1,14,2,,,1,43,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,61,8,1,8,,,4,6,3,5,0,1,0,1,2,1,2,0,1,0.8901179363,0.0002193199
685164,2,2,1,2,1,1955,1,,,1,7,3,97,110,0,1985,2,,2,2,,,1,6,,,3,3,17,2,,,1,44,0,1,,1,,,2,,,,,,,2,1,2,1,2,2,2,,2212,17,60,2,2,,65,8,1,8,,,5,4,2,3,1,1,1,1,2,1,2,0,1,0.8901179363,0.0002193199
685258,2,1,1,1,1,1939,1,,,1,3,,,,,,,,1,1,,,2,15,2,19,2,1,15,1,2,,1,37,2,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,81,11,2,11,,,5,6,3,5,1,1,0,0,1,2,3,1,3,3723.3126437,0.9174027712
685258,2,2,2,2,1,1940,1,,,1,3,,,,,,,,1,2,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,80,11,2,11,,,5,7,3,5,0,0,0,0,1,2,3,1,3,3723.3126437,0.9174027712
685296,3,1,1,1,1,1967,1,,,1,5,,50,60,,1986,2,2,1,1,,,1,1,,,3,1,20,2,,,1,35,1,1,100,2,,,2,,,64,80,1,95,1,2,2,2,1,2,2,,3135,3,32,2,2,,53,10,2,10,,,3,1,1,2,1,1,1,1,2,2,3,1,3,5477.9702982,1.3497403021
685296,3,2,2,2,1,1972,1,,,1,3,,,,,,,,2,2,,,2,16,,,1,,30,2,,,1,12,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,48,10,2,10,,,3,6,3,5,0,1,0,1,2,2,3,1,3,5477.9702982,1.3497403021
685296,3,3,2,6,1,2001,1,,,2,5,,78,100,,2020,4,2,2,5,,,2,11,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,19,10,2,10,,,1,7,3,5,0,0,0,1,2,2,3,1,3,5477.9702982,1.3497403021
685297,3,1,1,1,2,1963,1,1965,1,3,4,,,,,,,,1,,2,,1,2,,,1,,21,2,,,1,36,0,1,100,2,,,2,,,63,100,2,,1,2,2,2,2,2,2,,2221,17,,2,2,,57,,,10,,,4,2,1,3,1,1,1,1,3,2,3,1,3,2675.007177,0.6591063475
685297,3,2,2,14,1,1922,1,,,2,2,,,,,,,,2,2,,,2,15,8,1,1,,15,2,,,1,15,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,98,10,2,10,,,5,6,3,5,0,1,0,1,3,2,3,1,3,2675.007177,0.6591063475
685297,3,3,2,4,1,1931,1,,,4,2,,,,,,,,2,1,,,2,15,8,1,1,,15,2,,,1,15,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,89,10,2,10,,,5,6,3,5,0,1,0,1,3,2,3,1,3,2675.007177,0.6591063475
685299,3,1,1,1,1,1965,1,,,1,5,,65,100,,1984,1,2,1,1,,,1,1,,,6,3,19,2,,,1,35,1,1,100,2,,,2,,,61,80,1,100,1,2,2,2,2,2,2,,9313,3,53,2,2,,55,10,2,10,,,4,1,1,2,1,1,1,1,1,2,3,1,3,3841.2851997,0.9464705289
685299,3,2,2,2,1,1966,1,,,1,3,,,,,,,,2,2,,,2,13,,,5,1,15,1,4,,1,18,0,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,54,10,2,10,,,3,7,3,5,0,0,0,1,1,2,3,1,3,3841.2851997,0.9464705289
685299,3,3,1,6,1,2007,1,,,2,3,,,,,,,,2,3,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,13,10,2,10,,,1,7,3,5,0,0,0,1,1,2,3,1,3,3841.2851997,0.9464705289
685300,1,1,2,1,1,1948,1,,,4,5,,55,60,,1970,1,2,1,1,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,72,20,3,20,,,5,6,3,5,1,1,0,0,1,3,5,0,1,9298.4815148,2.2910922413
685301,3,1,1,1,1,1970,1,,,1,3,,,,,,,,1,2,,,1,2,,,1,,18,2,,,1,30,0,1,90,2,,,2,,,66,70,2,,1,2,2,2,2,2,2,,5414,15,,2,2,,50,20,3,20,,,3,2,1,3,1,1,1,1,1,3,5,0,1,26376.902986,6.4991168382
685301,3,2,2,2,1,1980,1,,,1,3,,,,,,,,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,40,20,3,20,,,2,7,3,5,0,0,0,1,1,3,5,0,1,26376.902986,6.4991168382
685301,3,3,1,6,1,2004,1,,,2,3,,,,,,,,2,3,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,16,20,3,20,,,1,7,3,5,0,0,0,1,1,3,5,0,1,26376.902986,6.4991168382
685368,3,1,1,1,1,1960,1,,,1,3,,,,,,,,1,2,,,1,1,,,1,,18,2,,,1,40,1,2,,2,,,,,,60,60,3,,1,2,2,2,2,2,2,,1312,1,,2,2,,60,19,3,19,,,4,1,1,1,0,1,1,1,2,3,5,2,4,4830.2033602,1.1901342628
685368,3,2,2,2,1,1964,1,,,1,3,,,,,,,,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,56,19,3,19,,,4,7,3,5,0,0,0,1,2,3,5,2,4,4830.2033602,1.1901342628
685368,3,3,2,6,1,1993,1,,,2,3,,,,,,,,1,4,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,1,2,,0,,,,,,27,19,3,19,,,1,6,3,5,1,1,0,1,2,3,5,2,4,4830.2033602,1.1901342628
685451,1,1,2,1,1,1934,1,,,4,2,,,,,,,,1,1,,,2,16,,,1,,14,1,70,,1,15,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,86,4,1,4,,,5,6,3,5,1,1,0,0,1,1,2,2,4,2693.8885539,0.6637586099
685537,2,1,1,1,1,1946,1,,,1,2,,,,,,,,1,1,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,74,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,2,4,2248.4824807,0.5540131212
685537,2,2,2,2,1,1952,1,,,1,2,,,,,,,,1,2,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,68,19,3,19,,,5,7,3,5,0,0,0,0,1,3,5,2,4,2248.4824807,0.5540131212
685560,1,1,2,1,1,1944,1,,,4,4,,,,,,,,1,1,,,2,16,,,3,1,16,2,,,1,12,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,5,1,5,,,5,6,3,5,1,1,0,0,1,1,2,0,1,1498.248703,0.3691598433
685630,2,1,1,1,2,1952,1,1995,3,1,3,,,,,,,,1,1,,,2,15,1,3,3,1,20,2,,,1,20,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,,,5,,,5,6,3,5,1,1,0,0,1,1,2,0,1,6953.1731861,1.7132217894
685630,2,2,2,2,2,1955,2,2000,2,1,3,,,,,,,,1,2,,,2,13,,,1,,25,2,,,2,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,65,,,5,,,5,7,3,5,0,0,0,0,1,1,2,0,1,6953.1731861,1.7132217894
685733,2,1,2,1,1,1944,1,,,4,3,,,,,,,,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,1,1,20,,,5,7,3,5,0,1,0,1,2,3,5,2,3,1708.4487723,0.4209519286
685733,2,2,2,6,1,1972,1,,,3,7,3,108,110,0,2011,3,,2,,2,,1,2,,,1,,20,2,,,2,,,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,2221,17,,2,2,,48,20,3,20,,,3,2,1,3,1,1,1,1,2,3,5,2,3,1708.4487723,0.4209519286
685734,1,1,2,1,1,1946,1,,,4,4,,,,,,,,1,1,,,2,15,8,19,1,,17,2,,,1,39,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,74,3,1,20,,,5,6,3,5,1,1,0,0,1,3,5,2,3,1280.3533684,0.315471689
685747,2,1,2,1,1,1937,1,,,1,2,,,,,,,,1,1,,,2,15,8,3,1,,50,2,,,1,20,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,83,14,3,14,,,5,6,3,5,0,1,0,0,2,3,4,0,1,7887.6464288,1.9434706093
685747,2,2,1,2,1,1931,1,,,1,1,,,,,,,,1,2,,,2,16,,,1,,20,2,,,2,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,89,14,3,14,,,5,6,3,5,1,1,0,0,2,3,4,0,1,7887.6464288,1.9434706093
685780,3,1,1,1,1,1948,1,,,1,7,1,94,110,0,1972,2,,1,1,,,2,15,4,3,2,1,25,2,,,1,40,4,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,72,8,1,8,,,5,6,3,5,1,1,0,1,2,1,2,2,4,584.96386004,0.1441317229
685780,3,2,2,2,2,1959,1,1995,3,1,5,,9,10,,1977,2,2,2,2,,,1,1,,,10,1,18,2,,,1,38,0,2,,2,,,,,,,,2,,1,2,2,2,2,2,2,,9111,20,36,2,2,,61,,,8,,,4,1,1,4,0,1,1,1,2,1,2,2,4,584.96386004,0.1441317229
685780,3,3,1,6,1,2003,1,,,2,5,,100,100,,2020,2,1,2,4,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,17,8,1,8,,,1,7,3,5,0,0,0,1,2,1,2,2,4,584.96386004,0.1441317229
685812,4,1,1,1,1,1970,1,,,1,3,,,,,,,,1,1,,,1,1,,,3,1,20,1,2,,1,22,0,1,60,2,,,2,,,66,80,2,,1,2,2,2,2,2,2,,7132,3,29,2,2,,50,18,3,18,,,3,1,1,2,0,1,1,2,2,3,4,1,3,4216.7223531,1.0389760792
685812,4,2,2,2,1,1970,1,,,1,7,6,107,110,0,1997,2,,2,2,,,1,2,,,1,,33,1,1,,1,17,1,1,,2,,,2,,,,,3,,1,2,2,2,2,2,2,,4311,19,,1,2,1200,50,18,3,18,,,3,2,1,4,1,1,1,2,2,3,4,1,3,4216.7223531,1.0389760792
